Area,Network,School ID,School,Total,Year
1,,610212,Albany Park,286,2008
1,,609789,Barry,950,2008
1,,610083,Beard,162,2008
1,,609796,Beaubien,"1,081",2008
1,,609798,Belding,498,2008
1,,609810,Bridge,761,2008
1,,609836,Canty,670,2008
1,,610248,Chicago Acad,588,2008
1,,609857,Cleveland,687,2008
1,,609884,Dever,807,2008
1,,609874,Dirksen,648,2008
1,,609899,Ebinger,642,2008
1,,609901,Edgebrook,394,2008
1,,609794,Edison,274,2008
1,,609910,Falconer,"1,533",2008
1,,609912,Farnsworth,606,2008
1,,609937,"Garvy, J.",628,2008
1,,609949,Gray,"1,304",2008
1,,609972,Haugan,"1,199",2008
1,,609988,Henry,702,2008
1,,609994,Hibbard,"1,186",2008
1,,609995,Hitch,426,2008
1,,610069,Irving Park Mid,340,2008
1,,610321,Marshall Mid,374,2008
1,,610074,Monroe,"1,256",2008
1,,610089,Murphy,565,2008
1,,610354,North River,311,2008
1,,610099,Norwood Park,359,2008
1,,610104,Onahan,566,2008
1,,610105,Oriole Park,607,2008
1,,610111,Palmer,959,2008
1,,610127,Peterson,939,2008
1,,610135,Portage Park,"1,126",2008
1,,610137,Prussing,729,2008
1,,610144,Reilly,"1,560",2008
1,,610145,Reinberg,"1,307",2008
1,,610155,Sauganash,459,2008
1,,610159,Scammon,"1,066",2008
1,,610179,Smyser,904,2008
1,,610182,Solomon,373,2008
1,,610163,Stock,229,2008
1,,610201,"Thorp, O. A.",818,2008
1,,610209,Volta,972,2008
1,,610230,Wildwood,344,2008
2,,609779,"Armstrong, G.","1,402",2008
2,,609782,Audubon,449,2008
2,,609792,Bateman,982,2008
2,,609799,Bell,912,2008
2,,609803,Blaine,774,2008
2,,609804,Boone,"1,074",2008
2,,610242,Brennemann,294,2008
2,,609817,Budlong,856,2008
2,,609852,Chappell,407,2008
2,,609859,Clinton,"1,252",2008
2,,609866,Coonley,350,2008
2,,610355,Courtenay,204,2008
2,,609880,Decatur Classical,266,2008
2,,610363,Disney Magnet,"1,528",2008
2,,609918,Field,387,2008
2,,609933,Gale,526,2008
2,,609945,Goudy,717,2008
2,,609850,Greeley,431,2008
2,,609963,Hamilton,232,2008
2,,609976,Hayt,901,2008
2,,610078,Inter-American,641,2008
2,,610010,Jahn,407,2008
2,,610011,Jamieson,808,2008
2,,609865,Jordan,659,2008
2,,610022,Kilmer,744,2008
2,,610269,McCutcheon,330,2008
2,,610070,McPherson,681,2008
2,,610094,Nettelhorst,467,2008
2,,610284,New Field,681,2008
2,,610122,Peirce,875,2008
2,,610141,Ravenswood,453,2008
2,,610147,Rogers,669,2008
2,,610187,Stewart,360,2008
2,,610189,Stockton,437,2008
2,,,Stockton Br,86,2008
