Area,Unit,School ID,School,Total,Year
6,6720,610250,Salazar Bilingual,368,2007
6,5760,610162,Schiller,271,2007
6,5761,,Schiller CPC,26,2007
6,5790,610164,Schneider,180,2007
6,6140,610197,Talcott,547,2007
7,2250,609797,Beidler,482,2007
7,2400,609812,"Brown, W.",257,2007
7,6610,610243,Calhoun North,509,2007
7,6730,610251,Cather,245,2007
7,3000,609881,Delano,423,2007
7,3001,,Delano CPC,103,2007
7,6740,610252,Dett,383,2007
7,3050,609888,Dodge,457,2007
7,4640,610055,Faraday,301,2007
7,3310,609915,Foundations,85,2007
7,7840,610348,Goldblatt,371,2007
7,3910,609985,Hefferan,444,2007
7,3950,609989,Herbert,440,2007
7,6590,610241,Marconi,365,2007
7,6800,610257,Morton,395,2007
7,4050,609999,Nia,47,2007
7,7350,610308,Rudolph Lrng Ctr,83,2007
7,5680,610154,Ryerson,516,2007
7,6340,610405,Suder Montessori,136,2007
7,6110,610194,Sumner,602,2007
7,6210,610202,Tilton,479,2007
7,5470,610133,"Ward, L.",462,2007
8,8020,610365,Bethune,351,2007
8,2740,609851,Chalmers,290,2007
8,7191,,Cole CPC,54,2007
8,2940,609873,Crown,396,2007
8,6760,610254,Dvorak,662,2007
8,3240,609907,Ericson,637,2007
8,3660,609954,Gregory,428,2007
8,3750,609966,Hammond,528,2007
8,6381,,Hansberry CPC,87,2007
8,6570,610240,Henson,449,2007
8,3970,609991,Herzl,683,2007
8,3971,,Herzl CPC,90,2007
8,4110,610005,"Hughes, C.",403,2007
8,5350,610121,Irving,516,2007
8,6920,610271,Jensen,427,2007
8,6940,610274,Johnson,373,2007
8,6941,,Johnson CPC,61,2007
8,3410,609925,Kellman,295,2007
8,4310,610023,King EL,348,2007
8,6750,610253,Lathrop,368,2007
8,4430,610034,Lawndale,509,2007
8,4650,610056,Mason,692,2007
8,7190,610293,Melody,437,2007
8,6921,,Miller CPC,77,2007
8,6930,610273,Paderewski,306,2007
8,5370,610123,Penn,420,2007
8,5450,610131,Plamondon,207,2007
8,5480,610134,Pope,175,2007
8,6380,610221,Webster,512,2007
9,2010,609771,Abbott,121,2007
9,2070,609777,Armour,257,2007
9,2071,,Armour Br,169,2007
9,2890,609867,Cooper,772,2007
9,3100,609894,Drake,371,2007
9,4160,610009,Galileo,617,2007
9,3540,609940,Gladstone,431,2007
9,3700,609959,Haines,750,2007
9,3880,609979,Healy,849,2007
9,3881,,Healy Br,464,2007
9,4020,609996,Holden,619,2007
9,4690,610060,"Jackson, A.",538,2007
9,5971,,Joyner CPC,47,2007
9,4230,610015,Jungman,423,2007
9,4710,610062,McClellan,270,2007
9,4810,610071,Medill,209,2007
9,4860,610075,Montefiore,101,2007
9,6480,610231,Natl Teachers Acad,531,2007
9,7610,610329,Orozco,719,2007
9,2930,609872,Perez,541,2007
9,5430,610129,Pickard,647,2007
9,4210,610013,Pilsen,486,2007
9,4920,610081,Sheridan Magnet,524,2007
9,5940,610177,Skinner Classical,617,2007
9,5970,610180,"Smyth, J.",509,2007
9,3960,609990,South Loop,378,2007
9,3961,,South Loop Br,85,2007
9,6320,610216,Walsh,558,2007
9,6330,610217,"Ward, J.",450,2007
9,6450,610228,Whittier,399,2007
9,7720,610336,Williams Middle,127,2007
9,6490,610232,Williams Multiplex,274,2007
10,7470,610317,Brighton Park,904,2007
10,2540,609829,Burroughs,544,2007
10,4320,610024,Cardenas,409,2007
10,4321,,Cardenas Br,252,2007
10,2510,609826,Castellanos,587,2007
10,5860,610170,Columbia Explorers,"1,032",2007
10,2910,609870,Corkery,724,2007
10,2970,609876,"Davis, N.","1,664",2007
10,7330,610306,De La Cruz,191,2007
10,3260,609909,Everett,373,2007
10,3760,609967,Finkl,524,2007
10,3520,609938,Gary,"1,286",2007
10,3690,609958,Gunsaulus,709,2007
10,3370,609920,Kanoon Magnet,692,2007
10,2590,609834,Little Village,793,2007
10,6310,610215,Madero Mid,337,2007
10,4720,610063,McCormick,932,2007
10,7880,610353,McKinley Park,302,2007
10,3630,609950,Ortiz De Dominguez,801,2007
10,5390,610125,Ruiz,"1,021",2007
10,4250,610017,Saucedo,"1,212",2007
10,6010,610184,Spry,811,2007
10,3380,609921,Telpochcalli,288,2007
10,6440,610227,Whitney,"1,063",2007
10,3820,609973,Zapata,808,2007
10,3821,,Zapata Br,114,2007
11,4990,610087,Blair,121,2007
11,2570,609832,Byrne,671,2007
11,2780,609855,Christopher,246,2007
11,2980,609879,Dawes,"1,118",2007
11,3080,609893,Dore,571,2007
11,7870,610352,Durkin Park,453,2007
11,3140,609898,Eberhart,"1,787",2007
11,3200,609903,Edwards,"1,222",2007
11,4660,610057,Fairfield,708,2007
11,3681,,Fleming - Grimes Br,274,2007
11,3680,609956,Grimes,178,2007
11,3710,609960,Hale,891,2007
11,2350,609807,Hampton,726,2007
