Area,School ID,Network,School,Total,Year
52,400010,,Architecture Construction and Engineering(ACE)Technical Ch,476,2011
52,400013,,ASPIRA Charter - Early College,524,2011
52,400017,,ASPIRA Charter - Haugan Campus,560,2011
52,400015,,ASPIRA Charter - Mirta Ramirez Computer Science,408,2011
52,400072,,Betty Shabazz Intl Charter,320,2011
52,400074,,Betty Shabazz Intl Charter - Barbara A Sizemore,284,2011
52,400073,,Betty Shabazz Intl Charter - DuSable Leadership,407,2011
52,400019,,Bronzeville Lighthouse Charter Elementary School,472,2011
52,400020,,Catalyst Charter ES - Howland,504,2011
52,400023,,Chicago Intl Charter - Avalon / South Shore,426,2011
52,400024,,Chicago Intl Charter - Basil,721,2011
52,400025,,Chicago Intl Charter - Bucktown,657,2011
52,400027,,Chicago Intl Charter - Irving Park,499,2011
52,400092,,Chicago Intl Charter - Lloyd Bond,349,2011
52,400033,,Chicago Intl Charter - Longwood,"1,471",2011
52,400026,,Chicago Intl Charter - Loomis Primary,591,2011
52,400034,,Chicago Intl Charter - Northtown,855,2011
52,400028,,Chicago Intl Charter - Prairie,404,2011
52,400032,,Chicago Intl Charter - Ralph Ellison,545,2011
52,400029,,Chicago Intl Charter - Washington Park,434,2011
52,400030,,Chicago Intl Charter - West Belden,500,2011
52,400031,,Chicago Intl Charter - Wrightwood,720,2011
52,400108,,Chicago Intl Charter û Larry Hawkins,431,2011
52,400035,,Chicago Math and Science Academy High School,595,2011
52,400093,,Chicago Talent Development HS,228,2011
52,400036,,Chicago Virtual Charter High School,589,2011
52,400094,,EPIC Academy High School,259,2011
52,400039,,Erie Elementary Charter School,301,2011
52,400041,,Galapagos Elementary Charter School,351,2011
52,400042,,Henry Ford Academy Power House Charter HS,367,2011
52,400104,,Instituto Health Sciences Career Academy HS,178,2011
52,400044,,KIPP Ascend Academy Charter Elementary School,430,2011
52,400107,,LEARN  Charter School-South Chicago Campus,159,2011
52,400048,,LEARN Charter ES - Excel,295,2011
52,400047,,LEARN Charter ES - North Lawndale,328,2011
52,400046,,LEARN Charter ES - Romano Butler Campus,579,2011
52,400049,,Legacy Charter Elementary School,442,2011
52,400050,,Namaste Charter Elementary School,424,2011
52,400097,,Noble Street Charter - Chicago Bulls College,522,2011
52,400052,,Noble Street Charter - Gary Comer College Prep,518,2011
52,400053,,Noble Street Charter - Golder College Prep,547,2011
52,400098,,Noble Street Charter - Muchin College Prep,529,2011
52,400051,,Noble Street Charter - Noble Street College Prep,596,2011
52,400054,,Noble Street Charter - Pritzker College Prep,680,2011
52,400055,,Noble Street Charter - Rauner College Prep,588,2011
52,400056,,Noble Street Charter - Rowe-Clark Math & Sci Acad,538,2011
52,400057,,Noble Street Charter - UIC College Prep,594,2011
52,400106,,Noble Street Charter School - Englewood Campus,178,2011
52,400058,,North Lawndale College Prep Charter - Christiana,462,2011
52,400059,,North Lawndale College Prep Charter - Collins,419,2011
52,400060,,Passages Charter Elementary School,382,2011
52,400061,,Perspectives Charter - Calumet HS,488,2011
52,400067,,Perspectives Charter - Calumet MS,384,2011
52,400062,,Perspectives Charter - Calumet Technology,512,2011
52,400066,,Perspectives Charter - IIT Math & Science Academy,501,2011
52,400064,,Perspectives Charter - Rodney D Joslin,366,2011
52,400069,,Polaris Charter Academy Elementary School,288,2011
52,400071,,Providence Englewood Charter - Bunche,394,2011
52,400096,,Rowe Elementary School,256,2011
52,400078,,University of Chicago Charter - Carter G Woodson,402,2011
52,400075,,University of Chicago Charter - Donoghue,431,2011
52,400076,,University of Chicago Charter - NKO,337,2011
52,400077,,University of Chicago Charter - Woodlawn,537,2011
52,400081,,UNO Charter - Bartolome de Las Casas,286,2011
52,400082,,UNO Charter - Carlos Fuentes,557,2011
52,400101,,UNO Charter - Gage Park,550,2011
52,400083,,UNO Charter - Octavio Paz Campus,437,2011
52,400084,,UNO Charter - Rufino Tamayo,287,2011
52,400085,,UNO Charter School - Major Hector P.Garcia MD Campus,438,2011
52,400089,,UNO Charter School - Officer Donald J. Marquez,576,2011
52,400080,,UNO Charter School - PFC Omar E.Torres Campus,640,2011
52,400079,,UNO Charter School - SPC Daniel Zizumbo Campus,639,2011
52,400102,,Urban Prep Acad for Young Men - East Garfield Park,241,2011
52,400086,,Urban Prep Acad for Young Men Charter - Englewood,530,2011
52,400105,,Urban Prep Academy for Young Men  - South Shore,136,2011
52,400087,,Young Women's Leadership Charter High School,335,2011
52,609686,,Youth Connection Charter School,"3,524",2011
53,400009,,Academy for Global Citizenship Elementary School,198,2011
53,400018,,Austin Business and Entrepreneurship Academy HS,383,2011
53,400021,,Catalyst Elementary School - Circle Rock,498,2011
53,400091,,Chicago Academy for Advanced Technology HS,199,2011
53,400022,,Chicago High School for the Arts,300,2011
53,400038,,Community Services West Academy,165,2011
53,400040,,Frazier Preparatory Academy Elementary School,433,2011
53,400095,,Garfield Park Preparatory Academy ES,216,2011
53,400043,,Hope Institute Learning Academy,350,2011
53,400045,,Kwame Nkrumah Academy Elementary School,152,2011
53,400068,,Plato Learning Academy Elementary School,325,2011
