Network,School ID,School,Total,Year,Area
Network 1,610212,Albany Park Multicultural Academy,277,2017,
Network 1,610209,Alessandro Volta Elementary School,921,2017,
Network 1,609836,Arthur E Canty Elementary School,849,2017,
Network 1,609729,Carl Schurz High School,"1,812",2017,
Network 1,610083,Daniel C Beard Elementary School,173,2017,
Network 1,610564,Disney II Magnet High School,730,2017,
Network 1,610515,Disney II Magnet School,428,2017,
Network 1,610523,Edison Park Elementary School,564,2017,
Network 1,610137,Ernst Prussing Elementary School,705,2017,
Network 1,609874,Everett McKinley Dirksen Elementary School,884,2017,
Network 1,610163,Frederick Stock Elementary School,239,2017,
Network 1,609737,Friedrich W von Steuben Metropolitan Science HS,"1,737",2017,
Network 1,609857,Grover Cleveland Elementary School,615,2017,
Network 1,610182,Hannah G Solomon Elementary School,360,2017,
Network 1,609972,Helge A Haugan Elementary School,957,2017,
Network 1,609798,Hiram H Belding Elementary School,559,2017,
Network 1,609766,Jacqueline B Vaughn Occupational High School,206,2017,
Network 1,609912,James B Farnsworth Elementary School,638,2017,
Network 1,609796,Jean Baptiste Beaubien Elementary School,"1,101",2017,
Network 1,610089,John B Murphy Elementary School,561,2017,
Network 1,610111,John Palmer Elementary School,833,2017,
Network 1,609937,John W Garvy Elementary School,790,2017,
Network 1,610159,Jonathan Y Scammon Elementary School,800,2017,
Network 1,610127,Mary Gage Peterson Elementary School,879,2017,
Network 1,609792,Newton Bateman Elementary School,"1,061",2017,
Network 1,609810,Norman A Bridge Elementary School,"1,105",2017,
Network 1,610354,North River Elementary School,327,2017,
Network 1,609749,Northside College Preparatory High School,"1,069",2017,
Network 1,609744,Northside Learning Center High School,228,2017,
Network 1,610099,Norwood Park Elementary School,411,2017,
Network 1,610201,Ole A Thorp Elementary Scholastic Academy,840,2017,
Network 1,610105,Oriole Park Elementary School,733,2017,
Network 1,609988,Patrick Henry Elementary School,548,2017,
Network 1,610145,Peter A Reinberg Elementary School,852,2017,
Network 1,610135,Portage Park Elementary School,933,2017,
Network 1,609995,Rufus M Hitch Elementary School,593,2017,
Network 1,610155,Sauganash Elementary School,583,2017,
Network 1,609728,Theodore Roosevelt High School,"1,198",2017,
Network 1,609794,Thomas A Edison Regional Gifted Center ES,275,2017,
Network 1,610230,Wildwood IB World Magnet School,487,2017,
Network 1,609884,William E Dever Elementary School,788,2017,
Network 1,609994,William G Hibbard Elementary School,"1,048",2017,
Network 1,609734,William Howard Taft High School,"3,289",2017,
Network 1,610104,William J Onahan Elementary School,639,2017,
Network 1,609949,William P Gray Elementary School,"1,228",2017,
Network 2,609804,Daniel Boone Elementary School,830,2017,
Network 2,609859,DeWitt Clinton Elementary School,"1,173",2017,
Network 2,609852,Eliza Chappell Elementary School,606,2017,
Network 2,609918,Eugene Field Elementary School,199,2017,
Network 2,609779,George Armstrong International Studies ES,"1,433",2017,
Network 2,610196,George B Swift Elementary Specialty School,686,2017,
Network 2,610122,Helen Peirce International Studies ES,"1,028",2017,
Network 2,610070,James B McPherson Elementary School,737,2017,
Network 2,609866,John C Coonley Elementary School,948,2017,
Network 2,610269,John T McCutcheon Elementary School,421,2017,
Network 2,609865,Jordan Elementary Community School,508,2017,
Network 2,610242,Joseph Brennemann Elementary School,398,2017,
Network 2,610022,Joyce Kilmer Elementary School,793,2017,
Network 2,609719,Lake View High School,"1,298",2017,
Network 2,609817,Lyman A Budlong Elementary School,790,2017,
Network 2,610355,Mary E Courtenay Elementary Language Arts Center,456,2017,
Network 2,610011,Minnie Mars Jamieson Elementary School,875,2017,
Network 2,610284,New Field Elementary School,683,2017,
Network 2,609730,Nicholas Senn High School,"1,415",2017,
Network 2,610147,Philip Rogers Elementary School,783,2017,
Network 2,610141,Ravenswood Elementary School,549,2017,
Network 2,609695,Roald Amundsen High School,"1,172",2017,
Network 2,609733,Roger C Sullivan High School,626,2017,
Network 2,609880,Stephen Decatur Classical Elementary School,292,2017,
Network 2,609933,Stephen F Gale Elementary Community Academy,363,2017,
Network 2,609976,Stephen K Hayt Elementary School,"1,049",2017,
Network 2,609724,Stephen T Mather High School,"1,502",2017,
Network 2,610191,Stone Elementary Scholastic Academy,626,2017,
Network 2,610220,Thomas J Waters Elementary School,634,2017,
Network 2,610394,Uplift Community High School,301,2017,
Network 2,610542,West Ridge Elementary School,796,2017,
Network 2,609945,William C. Goudy Technology Academy,727,2017,
Network 3,609922,Belmont-Cragin Elementary School,575,2017,
Network 3,609679,Charles Allen Prosser Career Academy High School,"1,377",2017,
Network 3,609732,Charles P Steinmetz College Preparatory HS,"1,374",2017,
Network 3,609904,Edward K Ellington Elementary School,638,2017,
Network 3,609708,Edwin G. Foreman College and Career Academy,894,2017,
Network 3,610235,Ella Flagg Young Elementary School,876,2017,
Network 3,610165,Franz Peter Schubert Elementary School,855,2017,
Network 3,610245,Frederick A Douglass Academy High School,175,2017,
Network 3,610305,George Leland Elementary School,479,2017,
Network 3,609795,George Rogers Clark Elementary School,250,2017,
Network 3,610068,Hanson Park Elementary School,"1,541",2017,
Network 3,610158,Harriet E Sayre Elementary Language Academy,459,2017,
Network 3,610092,Henry H Nash Elementary School,336,2017,
Network 3,609975,John Hay Elementary Community Academy,425,2017,
Network 3,610043,Joseph Lovett Elementary School,404,2017,
Network 3,610041,Josephine C Locke Elementary School,"1,359",2017,
Network 3,609910,Laughlin Falconer Elementary School,"1,207",2017,
Network 3,609818,Luther Burbank Elementary School,934,2017,
Network 3,610539,Marvin Camras Elementary School,972,2017,
Network 3,610046,Mary Lyon Elementary School,"1,504",2017,
Network 3,610244,Michele Clark Academic Prep Magnet High School,548,2017,
Network 3,609830,Milton Brunson Math & Science Specialty ES,539,2017,
Network 3,610051,Northwest Middle School,492,2017,
Network 3,610367,Oscar DePriest Elementary School,614,2017,
Network 3,610183,Spencer Technology Academy,696,2017,
Network 3,610518,VOISE Academy High School,304,2017,
Network 4,610038,Abraham Lincoln Elementary School,853,2017,
Network 4,609720,Albert G Lane Technical High School,"4,195",2017,
Network 4,609799,Alexander Graham Bell Elementary School,961,2017,
Network 4,610039,Carl von Linne Elementary School,648,2017,
Network 4,609875,Charles R Darwin Elementary School,523,2017,
Network 4,610402,DeVry University Advantage Academy HS,196,2017,
Network 4,610541,Federico Garcia Lorca Elementary School,858,2017,
Network 4,610144,Frank W Reilly Elementary School,998,2017,
