Area,Unit,School ID,Schools,Total,year
13,6660,610246,Beasley Magnet,"1,294",2008
13,6661,,Beasley CPC,178,2008
13,6540,610237,Beethoven,468,2008
13,2460,609819,Burke,228,2008
13,2670,609844,Carter,456,2008
13,5651,,Cockrell CPC,46,2008
13,3030,609885,Dewey,377,2008
13,3031,,Dewey CPC,119,2008
13,3440,609928,Fuller,299,2008
13,3600,609947,"Graham, A.",569,2008
13,3930,609987,Hendricks,295,2008
13,4030,609997,Holmes,519,2008
13,6820,610260,McCorkle,282,2008
13,6950,610276,Mollison,283,2008
13,6960,610277,Overton,354,2008
13,6961,,Overton CPC,82,2008
13,5280,610114,Parkman,201,2008
13,7850,610349,Princeton A C,199,2008
13,5650,610150,Ross,474,2008
13,5890,610172,Sherman,493,2008
13,5900,610173,Sherwood,406,2008
13,7820,610345,Woodson South,459,2008
13,7822,,Woodson South CPC,46,2008
14,2050,609775,Altgeld,679,2008
14,6880,610265,Banneker,394,2008
14,2170,609790,Barton,776,2008
14,2180,609791,Bass,578,2008
14,6550,610238,Bond,500,2008
14,2410,609813,Brownell,290,2008
14,3010,609883,Deneen,577,2008
14,7050,610283,Guggenheim,330,2008
14,3800,609971,Harvard,517,2008
14,7250,610299,Hinton,521,2008
14,5540,610140,Johns ,297,2008
14,2330,609805,Joplin,565,2008
14,4270,610019,Kershaw,244,2008
14,7240,610298,Lenart,314,2008
14,7150,610290,Mays,333,2008
14,2200,609793,Nicholson,465,2008
14,5170,610102,Oglesby,590,2008
14,5290,610115,Park Manor,404,2008
14,5270,610112,Parker,576,2008
14,5271,,Parker CPC,62,2008
14,6870,610264,Reed,341,2008
14,5660,610152,Ruggles,469,2008
14,7760,610339,Stagg,553,2008
14,6390,610223,Wentworth,404,2008
14,7260,610300,Westcott,506,2008
14,7080,610285,Woods,546,2008
14,6500,610233,Yale,303,2008
15,3640,609951,Ariel ,437,2008
15,4260,610018,Canter Mid,261,2008
15,2630,609837,Carnegie,665,2008
15,3070,609891,Doolittle,423,2008
15,3071,,Doolittle EC,32,2008
15,6860,610263,Dulles,511,2008
15,6890,610266,Dumas,329,2008
15,3320,609916,Fermi,255,2008
15,3360,609919,Fiske,417,2008
15,3780,609969,Harte,431,2008
15,4390,610030,Kozminski,451,2008
15,4700,610061,Mayo,487,2008
15,5030,610090,Murray,473,2008
15,5400,610126,Pershing E. Magnet,238,2008
15,2680,610395,Pershing W. Magnet,270,2008
15,6810,610258,Price,228,2008
15,5560,610142,Ray,673,2008
15,5580,610143,Reavis,391,2008
15,6780,610256,Robinson,207,2008
15,5830,610169,Sexton,470,2008
15,5920,610175,Shoesmith,362,2008
15,4740,610065,McCosh,783,2008
15,6300,610213,Wadsworth,338,2008
15,6301,,Wadsworth CPC,29,2008
15,5250,610110,Wells Prep,162,2008
15,3860,609977,Woodlawn,182,2008
16,7100,610287,Ashburn,490,2008
16,2150,609788,Barnard,303,2008
16,2280,609800,Bennett,455,2008
16,2650,609839,Carroll,298,2008
16,2652,,Carroll Annex,157,2008
16,2720,609849,Cassell,313,2008
16,2820,609861,Clissold,610,2008
16,2860,609864,Cook,718,2008
16,4090,610003,Cuffe,733,2008
16,3160,609900,Curtis,525,2008
16,6050,610188,Dunne,448,2008
16,3250,609908,Esmond,486,2008
16,7990,610362,Evers,432,2008
16,3330,609917,Fernwood,447,2008
16,3400,609924,Fort Dearborn,673,2008
16,3430,609927,Foster Park,595,2008
16,5420,610128,"Garvey, M.",496,2008
16,4410,610032,"Green, W.",267,2008
16,3670,609955,Gresham,443,2008
16,8060,610368,"Hughes, L.",315,2008
16,8090,610369,"Jackson, M.",368,2008
16,4960,610084,Keller Magnet,223,2008
16,4240,610016,Kellogg,278,2008
16,4360,610028,Kohn,579,2008
16,4830,610072,Morgan,370,2008
16,4940,610082,Mt Greenwood,647,2008
16,4980,610086,Mt Vernon,309,2008
16,5240,610109,Owen,248,2008
16,2651,,Rosenwald - Carrol  Br,227,2008
16,2281,,Shedd - Bennett Br,150,2008
16,6120,610195,Sutherland,755,2008
16,6250,610207,Vanderpoel Magnet,320,2008
16,2920,609871,Vick EC Ctr,209,2008
16,8030,610366,Wacker,255,2008
17,6900,610268,Ashe,640,2008
17,2130,609786,Avalon Park,655,2008
17,7860,610350,Black Magnet,288,2008
17,7861,,Black Br,193,2008
17,2430,609815,Bouchet,976,2008
17,2340,609806,Bradwell,887,2008
17,6980,610280,Buckingham,37,2008
17,2520,609827,Burnside,758,2008
17,2580,609833,Caldwell,484,2008
17,2830,609862,Coles,610,2008
17,7430,610314,Davis Dev Ctr,67,2008
17,3040,609887,Dixon,645,2008
17,7450,610316,Earhart,299,2008
17,3530,609939,Gillespie,640,2008
17,4080,610002,Hoyne,353,2008
17,4350,610027,Kipling,468,2008
17,4570,610047,Madison,478,2008
17,4610,610052,Mann,757,2008
17,4750,610066,McDade Classical,193,2008
17,7390,610312,McDowell,179,2008
17,5880,610171,Mireles,"1,103",2008
17,5060,610093,Neil,405,2008
17,3720,609961,Ninos Heroes,702,2008
17,5180,610103,O'Keeffe,700,2008
17,5300,610116,Parkside,321,2008
17,5440,610130,Pirie,514,2008
17,7010,610281,Powell,596,2008
17,5610,610146,Revere,548,2008
17,5670,610153,Ryder,407,2008
17,7090,610286,South Chicago,157,2008
17,6100,610193,Sullivan,670,2008
17,6970,610279,Tanner,573,2008
17,3110,609895,Turner-Drew,347,2008
17,6350,610218,Warren,383,2008
17,5380,610124,"Washington, H.",660,2008
18,2020,609772,Addams,924,2008
18,2710,609848,Aldridge,219,2008
18,2481,,Anthony - Burnham Br ,169,2008
18,2390,609811,Bright,288,2008
18,5040,610091,"Brown, R.",330,2008
18,2480,609821,Burnham,138,2008
18,2700,609847,Carver Mid,238,2008
18,2690,609845,Carver Primary,265,2008
18,2790,609856,Clay,757,2008
18,6170,610199,"Colemon, J.",286,2008
18,4100,610004,Cullen,366,2008
18,8010,610364,DuBois,255,2008
18,3490,609935,Gallistel,805,2008
18,3491,,Gallistel Br,566,2008
18,3570,609943,Gompers,374,2008
18,3580,609944,Grissom,348,2008
18,2360,609808,Haley,667,2008
18,7210,610295,Higgins,400,2008
18,6260,610208,Lavizzo,603,2008
18,4550,610045,Lawrence,573,2008
18,4630,610054,Marsh,759,2008
18,3190,609902,Metcalfe,700,2008
18,3470,609932,Owens,439,2008
18,5460,610132,Poe Classical,177,2008
18,5530,610139,Pullman,372,2008
18,5950,610178,Schmid,280,2008
18,5930,610176,Shoop,823,2008
18,3870,609978,"Smith, W.",440,2008
18,5740,610160,Songhai,513,2008
18,6150,610198,Taylor,725,2008
18,6180,610200,"Thorp, J. N.",530,2008
18,6360,610219,"Washington, G.",749,2008
18,6400,610224,West Pullman,422,2008
18,2691,,Wheatley CPC,61,2008
18,6420,610225,Whistler,530,2008
18,7440,610315,White,215,2008
19,1210,609695,Amundsen HS,"1,611",2008
19,6990,610402,DeVry Advantage HS,185,2008
19,1330,609708,Foreman HS,"1,948",2008
19,1410,609716,Kelvyn Park HS,"1,559",2008
19,1430,609719,Lake View HS,"1,644",2008
19,1440,609720,Lane Tech HS,"4,088",2008
19,1620,609738,Lincoln Park HS,"2,215",2008
19,1480,609724,Mather HS,"1,800",2008
19,1140,609691,North-Grand HS,907,2008
19,1740,609749,Northside CPHS,"1,112",2008
19,1690,609744,Northside Lrn Ctr HS,285,2008
19,1070,609679,Prosser HS,"1,413",2008
19,1520,609728,Roosevelt HS,"1,595",2008
19,1530,609729,Schurz HS,"2,034",2008
19,7650,610377,Senn AA HS,113,2008
19,1540,609730,Senn HS,"1,190",2008
19,1560,609732,Steinmetz HS,"1,947",2008
19,1570,609733,Sullivan HS,884,2008
19,1580,609734,Taft HS,"2,596",2008
19,2210,610394,Uplift Community HS,556,2008
19,1920,609766,Vaughn Occp HS,223,2008
19,1610,609737,Von Steuben HS,"1,586",2008
21,1065,610501,Austin Polytech HS,129,2008
21,1020,610370,Best Practice HS,289,2008
21,6620,610244,Clark Magnet HS,964,2008
21,7980,610401,Clemente AA HS,325,2008
21,1840,609759,Clemente HS,"2,183",2008
21,1045,610499,Collins Acad HS,133,2008
21,1880,609763,Collins HS,373,2008
21,7660,610378,Crane AA HS,377,2008
21,1270,609702,Crane Tech HS,981,2008
21,6630,610245,Douglass HS,561,2008
21,2120,609783,"Jefferson, N",357,2008
21,1060,609678,Jones CPHS,707,2008
21,1890,609764,Juarez HS,"1,547",2008
21,1460,609722,Manley HS,"1,221",2008
21,1470,609723,Marshall HS,"1,270",2008
21,1090,609680,Payton CPHS,890,2008
21,1750,609750,Simpson HS,238,2008
21,1640,609740,Wells HS,919,2008
21,1810,609755,Young Magnet HS,"2,185",2008
23,7930,610357,Spry Comm Links HS,95,2008
23,1820,609756,Curie HS,"3,252",2008
23,1030,609676,Dunbar Voc HS,"1,575",2008
23,1600,609736,Dyett HS,598,2008
23,1680,609742,Englewood HS,161,2008
23,1300,609704,Farragut HS,"2,114",2008
23,1340,609709,Gage Park HS,"1,591",2008
23,1950,609769,"Graham, R. Trng CTR",172,2008
23,1200,609694,Hancock HS,913,2008
23,1360,609711,Harper HS,"1,258",2008
23,1940,609768,Hope CPHS,"1,056",2008
23,1670,609741,Hubbard HS,"1,702",2008
23,1390,609713,Hyde Park HS,"2,313",2008
23,1400,609715,Kelly HS,"3,195",2008
23,1420,609718,Kennedy HS,"1,637",2008
23,1710,609746,Kenwood HS,"1,578",2008
23,1760,609751,King CPHS,899,2008
23,7110,610391,Lindblom MSHS,484,2008
23,7960,609743,Phillips AA HS,196,2008
23,1510,609727,Phillips HS,800,2008
23,1110,609682,Richards HS,594,2008
23,7580,610375,Tilden AA HS,246,2008
23,1590,609735,Tilden HS,"1,332",2008
24,1230,609698,Bogan Tech HS,"2,002",2008
24,1500,609726,Brooks CPHS,729,2008
24,1790,609753,Chicago Agr Sci HS,583,2008
24,7670,609675,Chgo Voc AA HS,298,2008
24,1010,609674,Chicago Voc HS,"1,874",2008
24,1860,609761,Corliss HS,"1,249",2008
24,7970,609706,Fenger AA HS,172,2008
24,1310,609705,Fenger  HS,"1,189",2008
24,1350,609710,Harlan HS,"1,415",2008
24,1380,609712,Hirsch HS,974,2008
24,1870,609762,Julian HS,"1,646",2008
24,1910,609765,Las Casas HS,136,2008
24,1490,609725,Morgan Park HS,"1,920",2008
24,7570,610374,Robeson AA HS,187,2008
24,1320,609707,Robeson HS,"1,271",2008
24,1150,609692,Simeon HS,"1,566",2008
24,1700,609745,Southside Occp HS,223,2008
24,1630,609739,"Washington, G. HS","1,565",2008
25,7300,610303,AASTA - Orr HS,488,2008
25,7280,610301,Big Pict HS - Yards,53,2008
25,7730,610337,Big Pict HS - Metro,47,2008
25,7340,610307,BEST HS,317,2008
25,7270,610381,Bronzeville HS,358,2008
25,7770,610340,Chicago Acad HS,499,2008
25,7360,610309,Chicago Discovery HS,391,2008
25,7290,610302,EXCEL - Orr HS,431,2008
25,7550,610324,Global Visions HS,330,2008
25,7680,610384,Infinity HS,263,2008
25,7630,610385,Multicultural Arts HS,260,2008
25,7540,610323,New Millnm HS,367,2008
25,7690,610334,Raby HS,543,2008
25,7380,610311,Entrepreneurshp HS,513,2008
25,7230,610297,Sch Of Leadrshp HS,441,2008
25,7220,610296,Sch Of Tech HS,466,2008
25,7370,610310,Sch Of The Arts HS,464,2008
25,7600,610383,Sch Of Soc Just HS,271,2008
25,8080,610506,TEAM Englewood HS,139,2008
25,7530,610322,Vines Prep HS,456,2008
25,7200,610380,Williams HS - Prep Med,228,2008
25,4460,610392,World Language HS,245,2008
26,1850,609760,Carver Mil Acad HS,495,2008
26,1800,609754,Chicago Mil Acad HS,507,2008
26,1085,610502,Marine Mil Acad HS,122,2008
26,7310,610304,Phoenix Mil Acad HS,311,2008
26,7140,610390,Rickover Naval HS,318,2008
51,1120,609683,Alternative Learning Comm HS,307,2008
51,1770,610371,IDOC/Healy South HS,52,2008
51,2126,,Jefferson IDOC/Healy,26,2008
51,2123,,Jerfferson Ctr/Factory,27,2008
51,1125,610388,LINC Alt HS,411,2008
51,1123,610386,Peace & Education Alt HS,81,2008
51,1730,609748,York Alt HS,299,2008
52,7950,400010,ACE Tech Chtr HS,462,2008
52,1720,400008,ACT Chtr HS,296,2008
52,7800,400015,ASPIRA Chrtr - Ramirez,299,2008
52,3500,400017,ASPIRA Chrtr - Haugan,505,2008
52,7803,400013,ASPIRA Chrtr - Early College,208,2008
52,3990,400019,Bronzeville LH Chtr,349,2008
52,4370,400020,Catalyst Charter,192,2008
52,7130,400024,Chgo Intl Chrt - Basil,698,2008
52,4910,400025,Chgo Intl Chrt - Bucktown,602,2008
52,4911,400032,Chgo Intl Chrt - Ellison,263,2008
52,4913,400027,Chgo Intl Chrt - Irving Pk,203,2008
52,2420,400033,Chgo Intl Chrt - Longwood,"1,465",2008
52,7740,400034,Chgo Intl Chrt - Northtown,758,2008
52,4220,400028,Chgo Intl Chrt - Prairie,403,2008
52,6580,400023,Chgo Intl Chrt - South Shore,366,2008
52,7120,400030,Chgo Intl Chrt - W. Belden,489,2008
52,2290,400029,Chgo Intl Chrt - Washington,442,2008
52,3180,400031,Chgo Intl Chrt - Wrightwood,618,2008
52,7940,400035,Chgo Math/Sci Chtr,388,2008
52,7700,400036,Chicago Virtual Chtr,381,2008
52,6530,400037,Chgo Child Choir Chtr,167,2008
52,5780,400039,Erie Charter,160,2008
52,5840,400041,Galapagos Charter,274,2008
52,7810,400044,KIPP Ascend Chrtr,318,2008
52,6770,400046,LEARN Charter,365,2008
52,5870,400049,Legacy Charter,252,2008
52,4730,400011,"Locke, A. Charter",507,2008
52,7920,400050,Namaste Charter,250,2008
52,1934,400053,Noble St. Chrtr HS - Golder,130,2008
52,1931,400054,Noble St. Chrtr HS - Prtizker,287,2008
52,1932,400055,Noble St. Chrtr HS - Rauner,280,2008
52,1933,400056,Noble St. Chrtr HS - Clark,129,2008
52,1930,400051,Noble St. Chrtr HS,505,2008
52,1105,400058,North Lawndale Chrtr,382,2008
52,1106,400059,Nth Lawndale Chtr - Collins,81,2008
52,6850,400060,Passages Chrtr,229,2008
52,1962,400062,Perspectives Chrtr - Cal Tech,176,2008
52,1963,400067,Perspectives Chrtr - Middle,342,2008
52,1960,400064,Perspectives Chrtr HS,354,2008
52,1961,400061,Perspectives Chrtr - Calumet,223,2008
52,4150,400069,Polaris Charter Acad,116,2008
52,6700,400071,Providence-Englewood Chrtr,287,2008
52,4520,400072,Shabazz Charter,298,2008
52,4140,400073,Shabazz Chrtr - DuSable,270,2008
52,5130,400074,Shabazz Chrtr - Sizmore,173,2008
52,2600,400075,U Of C Chrt - Donoghue,316,2008
52,3060,400076,U Of C Chrt - Nth Kenwood,446,2008
52,3061,400077,U Of Chicago Chtr HS,302,2008
52,3342,400082,UNO Charter - Fuentes,515,2008
52,3341,400081,UNO Charter - Las Casas,259,2008
52,3346,400089,UNO Charter - Marquez,514,2008
