Area,Unit,School ID,Schools,Totals,year
1,2085,610523,Edison Park Elementary School,258,2009
1,2160,609789,John Barry Elementary School,907,2009
1,2220,609794,Thomas A Edison Regional Gifted Center ES,264,2009
1,2240,609796,Jean Baptiste Beaubien Elementary School,"1,127",2009
1,2260,609798,Hiram H Belding Elementary School,543,2009
1,2380,609810,Norman A Bridge Elementary School,752,2009
1,2620,609836,Arthur E Canty Elementary School,703,2009
1,2800,609857,Grover Cleveland Elementary School,656,2009
1,2950,609874,Everett McKinley Dirksen Elementary School,692,2009
1,3020,609884,William E Dever Elementary School,780,2009
1,3150,609899,Christian Ebinger Elementary School,551,2009
1,3170,609901,Edgebrook Elementary School,424,2009
1,3270,609910,Laughlin Falconer Elementary School,"1,560",2009
1,3280,609912,James B Farnsworth Elementary School,612,2009
1,3510,609937,John W Garvy Elementary School,644,2009
1,3620,609949,William P Gray Elementary School,"1,252",2009
1,3810,609972,Helge A Haugan Elementary School,"1,172",2009
1,3940,609988,Patrick Henry Elementary School,664,2009
1,4000,609994,William G Hibbard Elementary School,"1,197",2009
1,4010,609995,Rufus M Hitch Elementary School,465,2009
1,4850,610074,James Monroe Elementary School,"1,247",2009
1,4950,610083,Daniel C Beard Elementary School,162,2009
1,5020,610089,John B Murphy Elementary School,553,2009
1,5120,610099,Norwood Park Elementary School,362,2009
1,5190,610104,William J Onahan Elementary School,601,2009
1,5200,610105,Oriole Park Elementary School,640,2009
1,5260,610111,John Palmer Elementary School,961,2009
1,5410,610127,Mary Gage Peterson Elementary School,925,2009
1,5490,610135,Portage Park Elementary School,"1,121",2009
1,5510,610137,Ernst Prussing Elementary School,688,2009
1,5590,610144,Frank W Reilly Elementary School,"1,554",2009
1,5600,610145,Peter A Reinberg Elementary School,"1,348",2009
1,5690,610155,Sauganash Elementary School,506,2009
1,5730,610159,Jonathan Y Scammon Elementary School,"1,097",2009
1,5770,610163,Frederick Stock Elementary School,265,2009
1,5960,610179,Washington D Smyser Elementary School,937,2009
1,5980,610182,Hannah G Solomon Elementary School,367,2009
1,6190,610201,Ole A Thorp Elementary Scholastic Academy,827,2009
1,6270,610209,Alessandro Volta Elementary School,"1,002",2009
1,6290,610212,Albany Park Multicultural Middle School,277,2009
1,6470,610230,Wildwood Elementary School,354,2009
1,6670,610248,Chicago Academy Elementary School,588,2009
1,7520,610321,Thurgood Marshall Middle School,665,2009
1,7890,610354,North River Elementary School,302,2009
1,8045,610515,Walt Disney II Magnet Elementary School,205,2009
2,2080,609779,George Armstrong International Studies ES,"1,436",2009
2,2110,609782,John J Audubon Elementary School,482,2009
2,2190,609792,Newton Bateman Elementary School,"1,003",2009
2,2270,609799,Alexander Graham Bell Elementary School,948,2009
2,2300,609803,James G Blaine Elementary School,811,2009
