Network,School ID,School, Totals ,year
Network 3,610043,Joseph Lovett Elementary School, 424 ,2016
Network 3,610041,Josephine C Locke Elementary School," 1,357 ",2016
Network 3,609910,Laughlin Falconer Elementary School," 1,316 ",2016
Network 3,609818,Luther Burbank Elementary School, 975 ,2016
Network 3,610539,Marvin Camras Elementary School," 1,052 ",2016
Network 3,610046,Mary Lyon Elementary School," 1,487 ",2016
Network 3,610244,Michele Clark Academic Prep Magnet High School, 524 ,2016
Network 3,609830,Milton Brunson Math & Science Specialty ES, 586 ,2016
Network 3,610051,Northwest Middle School, 572 ,2016
Network 3,610367,Oscar DePriest Elementary School, 683 ,2016
Network 3,610183,Spencer Technology Academy, 779 ,2016
Network 3,610518,VOISE Academy High School, 195 ,2016
Network 4,610038,Abraham Lincoln Elementary School, 838 ,2016
Network 4,609720,Albert G Lane Technical High School," 4,055 ",2016
Network 4,609799,Alexander Graham Bell Elementary School," 1,007 ",2016
Network 4,609963,Alexander Hamilton Elementary School, 454 ,2016
Network 4,609820,Augustus H Burley Elementary School, 522 ,2016
Network 4,610039,Carl von Linne Elementary School, 653 ,2016
Network 4,609875,Charles R Darwin Elementary School, 512 ,2016
Network 4,610402,DeVry University Advantage Academy HS, 197 ,2016
Network 4,610541,Federico Garcia Lorca Elementary School, 898 ,2016
Network 4,610144,Frank W Reilly Elementary School," 1,039 ",2016
Network 4,609926,Franklin Elementary Fine Arts Center, 360 ,2016
Network 4,609930,Frederick Funston Elementary School, 504 ,2016
Network 4,610010,Friedrich Ludwig Jahn Elementary School, 323 ,2016
Network 4,610048,George Manierre Elementary School, 349 ,2016
Network 4,609974,Hawthorne Elementary Scholastic Academy, 572 ,2016
Network 4,609850,Horace Greeley Elementary School, 655 ,2016
Network 4,610078,Inter-American Elementary Magnet School, 649 ,2016
Network 4,609803,James G Blaine Elementary School, 912 ,2016
Network 4,610074,James Monroe Elementary School, 968 ,2016
Network 4,609942,Johann W von Goethe Elementary School, 776 ,2016
Network 4,609789,John Barry Elementary School, 771 ,2016
Network 4,609782,John J Audubon Elementary School, 570 ,2016
Network 4,609716,Kelvyn Park High School, 711 ,2016
Network 4,610033,LaSalle Elementary Language Academy, 559 ,2016
Network 4,610325,Logandale Middle School, 836 ,2016
Network 4,609809,Lorenz Brentano Math & Science Academy ES, 443 ,2016
Network 4,609773,Louis A Agassiz Elementary School, 527 ,2016
Network 4,610094,Louis Nettelhorst Elementary School, 833 ,2016
Network 4,609774,Louisa May Alcott College Preparatory ES, 576 ,2016
Network 4,610524,Louisa May Alcott College Preparatory HS, 308 ,2016
Network 4,610059,Oscar F Mayer Elementary School, 683 ,2016
Network 4,609853,Salmon P Chase Elementary School, 469 ,2016
Network 4,609968,Sharon Christa McAuliffe Elementary School, 767 ,2016
Network 4,610534,Skinner North, 478 ,2016
Network 4,610095,Walter L Newberry Math & Science Academy ES, 565 ,2016
Network 4,610136,William H Prescott Elementary School, 368 ,2016
Network 4,610097,William P Nixon Elementary School, 962 ,2016
Network 4,610088,Wolfgang A Mozart Elementary School, 781 ,2016
Network 5,610342,Albert R Sabin Elementary Magnet School, 598 ,2016
Network 5,610098,Alfred Nobel Elementary School, 858 ,2016
Network 5,610131,Ambrose Plamondon Elementary School, 154 ,2016
Network 5,610005,Charles Evans Hughes Elementary School, 324 ,2016
Network 5,610194,Charles Sumner  Math & Science Community Acad ES, 280 ,2016
Network 5,609863,Christopher Columbus Elementary School, 287 ,2016
Network 5,609873,Crown Community Academy of Fine Arts Center ES, 323 ,2016
Network 5,609835,Daniel R Cameron Elementary School, 807 ,2016
Network 5,610221,Daniel Webster Elementary School, 322 ,2016
Network 5,610073,Ellen Mitchell Elementary School, 375 ,2016
Network 5,610503,Frazier Prospective IB Magnet ES, 275 ,2016
Network 5,609854,Frederic Chopin Elementary School, 522 ,2016
Network 5,610293,Genevieve Melody Elementary School, 587 ,2016
Network 5,610202,George W Tilton Elementary School, 349 ,2016
Network 5,609693,George Westinghouse College Prep," 1,176 ",2016
Network 5,610192,Harriet Beecher Stowe Elementary School, 743 ,2016
Network 5,609985,Helen M Hefferan Elementary School, 430 ,2016
Network 5,609797,Jacob Beidler Elementary School, 520 ,2016
Network 5,610044,James Russell Lowell Elementary School, 523 ,2016
Network 5,610271,Jensen Elementary Scholastic Academy, 462 ,2016
Network 5,609954,John Milton Gregory Elementary School, 414 ,2016
Network 5,610313,Jose De Diego Elementary Community Academy, 687 ,2016
Network 5,609925,Joseph Kellman Corporate Community ES, 371 ,2016
Network 5,610133,Laura S Ward Elementary School, 576 ,2016
Network 5,610034,Lawndale Elementary Community Academy, 388 ,2016
Network 5,609907,Leif Ericson Elementary Scholastic Academy, 478 ,2016
Network 5,609722,Manley Career Academy High School, 248 ,2016
Network 5,610055,Michael Faraday Elementary School, 342 ,2016
Network 5,609691,North-Grand High School, 978 ,2016
Network 5,610234,Richard Yates Elementary School, 555 ,2016
Network 5,610056,Roswell B Mason Elementary School, 389 ,2016
Network 5,610100,West Park Elementary Academy, 628 ,2016
Network 5,610251,Willa Cather Elementary School, 367 ,2016
Network 5,610123,William Penn Elementary School, 379 ,2016
Network 6,610229,A.N. Pritzker School, 743 ,2016
Network 6,609947,Alexander Graham Elementary School, 482 ,2016
Network 6,610060,Andrew Jackson Elementary Language Academy, 565 ,2016
Network 6,609996,Charles N Holden Elementary School, 496 ,2016
Network 6,610012,Edward Jenner Elementary Academy of the Arts, 246 ,2016
Network 6,610009,Galileo Math & Science Scholastic Academy ES, 548 ,2016
Network 6,610062,George B McClellan Elementary School, 308 ,2016
Network 6,610107,James Otis Elementary School, 551 ,2016
Network 6,610217,James Ward Elementary School, 552 ,2016
Network 6,610180,John M Smyth Elementary School, 474 ,2016
Network 6,609828,Jonathan Burr Elementary School, 409 ,2016
Network 6,610520,LaSalle II Magnet Elementary School, 591 ,2016
Network 6,610197,Mancel Talcott Elementary School, 540 ,2016
Network 6,610081,Mark Sheridan Elementary Math & Science Academy, 559 ,2016
Network 6,610075,Moses Montefiore Special Elementary School,,2016
Network 6,610529,Ogden International High School, 717 ,2016
Network 6,609777,Phillip D Armour Elementary School, 296 ,2016
Network 6,610138,Pulaski International School of Chicago, 931 ,2016
Network 6,609769,Ray Graham Training Center High School, 132 ,2016
Network 6,610561,Richard T Crane Medical Preparatory HS, 497 ,2016
Network 6,610252,Robert Nathaniel Dett Elementary School, 364 ,2016
Network 6,610029,Rodolfo Lozano Bilingual & International Ctr ES, 253 ,2016
Network 6,610250,Rueben Salazar Elementary Bilingual Center, 364 ,2016
Network 6,610548,STEM Magnet Academy, 450 ,2016
Network 6,610405,Suder Montessori Magnet ES, 418 ,2016
Network 6,609896,Thomas Drummond Elementary School, 351 ,2016
Network 6,610121,Washington Irving Elementary School, 518 ,2016
Network 6,609740,Wells Community Academy High School, 461 ,2016
Network 6,610101,William B Ogden Elementary School, 865 ,2016
Network 6,609812,William H Brown Elementary School, 271 ,2016
Network 6,610308,Wilma Rudolph Elementary Learning Center, 101 ,2016
Network 7,609966,Charles G Hammond Elementary School, 479 ,2016
Network 7,610063,Cyrus H McCormick Elementary School, 779 ,2016
Network 7,609870,Daniel J Corkery Elementary School, 550 ,2016
Network 7,609704,David G Farragut Career Academy High School, 916 ,2016
Network 7,610227,Eli Whitney Elementary School," 1,095 ",2016
Network 7,610215,Francisco I Madero Middle School, 327 ,2016
Network 7,609920,Gerald Delgado Kanoon Elementary Magnet School, 722 ,2016
Network 7,610383,Greater Lawndale High School For Social Justice, 309 ,2016
Network 7,610384,Infinity Math Science and Technology High School, 419 ,2016
Network 7,610125,Irma C Ruiz Elementary School, 781 ,2016
Network 7,610216,John A Walsh Elementary School, 432 ,2016
Network 7,610228,John Greenleaf Whittier Elementary School, 290 ,2016
Network 7,610184,John Spry Elementary Community School, 620 ,2016
Network 7,609950,Josefa Ortiz De Dominguez Elementary School, 664 ,2016
Network 7,609938,Joseph E Gary Elementary School," 1,149 ",2016
Network 7,610015,Joseph Jungman Elementary School, 298 ,2016
Network 7,610129,Josiah Pickard Elementary School, 515 ,2016
Network 7,610024,Lazaro Cardenas Elementary School, 674 ,2016
Network 7,609834,Little Village Elementary School, 858 ,2016
Network 7,610017,Maria Saucedo Elementary Scholastic Academy," 1,198 ",2016
Network 7,610385,Multicultural Academy of Scholarship, 272 ,2016
Network 7,610329,Orozco Fine Arts & Sciences Elementary School, 576 ,2016
Network 7,609867,Peter Cooper Elementary Dual Language Academy, 548 ,2016
Network 7,610013,Pilsen Elementary Community Academy, 393 ,2016
Network 7,609826,Rosario Castellanos Elementary School, 594 ,2016
Network 7,610357,Spry Community Links High School, 173 ,2016
Network 7,609921,Telpochcalli Elementary School, 298 ,2016
Network 7,609967,William F Finkl Elementary School, 457 ,2016
Network 7,610392,World Language Academy High School, 329 ,2016
Network 8,609993,Agustin Lara Elementary Academy, 481 ,2016
Network 8,610563,Back of the Yards IB HS, 790 ,2016
Network 8,610317,Brighton Park Elementary School, 518 ,2016
Network 8,610353,Calmeca Academy of Fine Arts and Dual Language, 808 ,2016
Network 8,610170,Columbia Explorers Elementary Academy," 1,183 ",2016
Network 8,609909,Edward Everett Elementary School, 236 ,2016
Network 8,609735,Edward Tilden Career Community Academy HS, 311 ,2016
Network 8,609682,Ellen H Richards Career Academy High School, 276 ,2016
Network 8,610203,Enrico Tonti Elementary School," 1,116 ",2016
Network 8,610319,Evergreen Academy Middle School, 317 ,2016
Network 8,610096,Florence Nightingale Elementary School," 1,323 ",2016
Network 8,609958,Frank W Gunsaulus Elementary Scholastic Academy, 804 ,2016
Network 8,609709,Gage Park High School, 406 ,2016
Network 8,610532,Irene C. Hernandez Middle School for the Advancement of Science, 965 ,2016
Network 8,609983,James Hedges Elementary School, 737 ,2016
Network 8,610174,James Shields Elementary School," 1,004 ",2016
Network 8,610559,James Shields Middle School, 690 ,2016
Network 8,609829,John C Burroughs Elementary School, 482 ,2016
Network 8,609964,John H Hamline Elementary School, 656 ,2016
Network 8,609694,John Hancock College Preparatory High School, 905 ,2016
Network 8,610117,Louis Pasteur Elementary School," 1,230 ",2016
Network 8,609756,Marie Sklodowska Curie Metropolitan High School," 3,050 ",2016
Network 8,609876,Nathan S Davis Elementary School, 791 ,2016
Network 8,609952,Nathanael Greene Elementary School, 597 ,2016
Network 8,609903,Richard Edwards Elementary School," 1,501 ",2016
Network 8,610239,Richard J Daley Elementary Academy, 609 ,2016
Network 8,610157,Sidney Sawyer Elementary School," 1,751 ",2016
Network 8,610226,Socorro Sandoval Elementary School," 1,067 ",2016
Network 8,610249,Talman Elementary School, 444 ,2016
Network 8,610504,Velma F Thomas Early Childhood Center, 183 ,2016
Network 8,609855,Walter S Christopher Elementary School, 379 ,2016
Network 8,610167,William H Seward Communication Arts Academy ES, 796 ,2016
Network 9,609837,Andrew Carnegie Elementary School, 610 ,2016
Network 9,610175,Beulah Shoesmith Elementary School, 348 ,2016
Network 9,609969,Bret Harte Elementary School, 384 ,2016
Network 9,610345,Carter G Woodson South Elementary School, 386 ,2016
Network 9,610030,Charles Kozminski Elementary Community Academy, 343 ,2016
Network 9,610380,Daniel Hale Williams Prep School of Medicine, 265 ,2016
Network 9,609751,Dr  Martin Luther King  Jr  College Prep HS, 695 ,2016
Network 9,610246,Edward Beasley Elementary Magnet Academic Center," 1,440 ",2016
Network 9,610065,Emmett Louis Till Math and Science Academy, 367 ,2016
Network 9,609713,Hyde Park Academy High School, 807 ,2016
Network 9,610110,Ida B Wells Preparatory Elementary Academy, 422 ,2016
Network 9,610276,Irvin C Mollison Elementary School, 416 ,2016
Network 9,610256,Jackie Robinson Elementary School, 139 ,2016
Network 9,609891,James R Doolittle Jr Elementary School, 307 ,2016
Network 9,610213,James Wadsworth Elementary School, 549 ,2016
Network 9,609894,John B Drake Elementary School, 419 ,2016
Network 9,609919,John Fiske Elementary School, 511 ,2016
Network 9,610126,John J Pershing Elementary Humanities Magnet, 549 ,2016
Network 9,609746,Kenwood Academy High School," 1,724 ",2016
Network 9,610237,Ludwig Van Beethoven Elementary School, 451 ,2016
Network 9,609676,Paul Laurence Dunbar Career Academy High School, 761 ,2016
Network 9,610090,Phillip Murray Elementary Language Academy, 529 ,2016
Network 9,609987,Thomas A Hendricks Elementary Community Academy, 245 ,2016
Network 9,610143,William C Reavis Math & Science Specialty ES, 277 ,2016
Network 9,610142,William H Ray Elementary School, 733 ,2016
Network 9,609977,Woodlawn Community Elementary School, 211 ,2016
Network 10,610185,Adlai E Stevenson Elementary School," 1,308 ",2016
Network 10,609788,Alice L Barnard Computer Math & Science Ctr ES, 308 ,2016
Network 10,610287,Ashburn Community Elementary School, 486 ,2016
Network 10,609871,Barbara Vick Early Childhood & Family Center, 355 ,2016
Network 10,610087,Blair Early Childhood Center, 163 ,2016
Network 10,609839,Carroll-Rosenwald Specialty Elementary School, 479 ,2016
Network 10,609879,Charles Gates Dawes Elementary School," 1,038 ",2016
Network 10,609753,Chicago High School for Agricultural Sciences, 717 ,2016
Network 10,610347,Claremont Academy Elementary School, 472 ,2016
Network 10,610077,Donald Morrill Math & Science Elementary School, 839 ,2016
Network 10,610352,Durkin Park Elementary School, 682 ,2016
Network 10,610006,Edward N Hurley Elementary School, 862 ,2016
Network 10,610195,Elizabeth H Sutherland Elementary School, 697 ,2016
Network 10,609908,Esmond Elementary School, 289 ,2016
Network 10,610057,Fairfield Elementary Academy, 604 ,2016
Network 10,610067,Francis M McKay Elementary School, 836 ,2016
Network 10,609849,George F Cassell Elementary School, 405 ,2016
Network 10,609741,Gurdon S Hubbard High School," 1,705 ",2016
Network 10,609861,Henry R Clissold Elementary School, 531 ,2016
Network 10,609898,John F Eberhart Elementary School," 1,472 ",2016
Network 10,609718,John F Kennedy High School," 1,629 ",2016
Network 10,610207,John H Vanderpoel Elementary Magnet School, 292 ,2016
Network 10,610016,Kate S Kellogg Elementary School, 252 ,2016
Network 10,609807,Lionel Hampton Fine & Performing Arts ES, 571 ,2016
Network 10,610544,Mariano Azuela Elementary School, 948 ,2016
Network 10,610206,Mark Twain Elementary School," 1,184 ",2016
Network 10,609832,Michael M Byrne Elementary School, 648 ,2016
Network 10,609725,Morgan Park High School," 1,431 ",2016
Network 10,610082,Mount Greenwood Elementary School," 1,055 ",2016
Network 10,609960,Nathan Hale Elementary School, 930 ,2016
Network 10,609981,Phoebe Apperson Hearst Elementary School, 337 ,2016
Network 10,610291,Richard Henry Lee Elementary School, 872 ,2016
Network 10,609956,Robert L Grimes Elementary School, 470 ,2016
Network 10,610558,Sarah E. Goode STEM Academy, 831 ,2016
Network 10,610109,William Bishop Owen Scholastic Academy ES, 260 ,2016
Network 11,609869,Anna R. Langford Community Academy, 373 ,2016
Network 11,610037,Arthur A Libby Elementary School, 360 ,2016
Network 11,609941,Asa Philip Randolph Elementary School, 510 ,2016
Network 11,610290,Benjamin E Mays Elementary Academy, 480 ,2016
Network 11,610238,Carrie Jacobs Bond Elementary School, 333 ,2016
Network 11,610366,Charles H Wacker Elementary School, 274 ,2016
Network 11,609986,Charles R Henderson Elementary School, 338 ,2016
Network 11,609897,Charles W Earle Elementary School, 486 ,2016
Network 11,609790,Clara Barton Elementary School, 463 ,2016
Network 11,610223,Daniel S Wentworth Elementary School, 560 ,2016
Network 11,610299,Dr. Martin L. King Jr Academy of Social Justice, 241 ,2016
Network 11,609924,Fort Dearborn Elementary School, 386 ,2016
Network 11,609927,Foster Park Elementary School, 398 ,2016
Network 11,610112,Francis W Parker Elementary Community Academy, 699 ,2016
Network 11,609768,Hope College Preparatory High School, 199 ,2016
Network 11,610173,Jesse Sherwood Elementary School, 356 ,2016
Network 11,609864,John W Cook Elementary School, 416 ,2016
Network 11,610019,Joshua D Kershaw Elementary School, 293 ,2016
Network 11,610108,Luke O'Toole Elementary School, 416 ,2016
Network 11,610369,Mahalia Jackson Elementary School, 349 ,2016
Network 11,610362,Medgar Evers Elementary School, 364 ,2016
Network 11,609692,Neal F Simeon Career Academy High School," 1,363 ",2016
Network 11,609793,Nicholson Technology Academy, 567 ,2016
Network 11,610300,Oliver S Westcott Elementary School, 390 ,2016
Network 11,610003,Paul Cuffe Math-Science Technology Academy ES, 421 ,2016
Network 11,609707,Paul Robeson High School, 204 ,2016
Network 11,609791,Perkins Bass Elementary School, 494 ,2016
Network 11,610102,Richard J Oglesby Elementary School, 498 ,2016
Network 11,609929,Robert Fulton Elementary School, 419 ,2016
Network 11,610391,Robert Lindblom Math & Science Academy HS," 1,254 ",2016
Network 11,610027,Rudyard Kipling Elementary School, 368 ,2016
Network 11,609805,Scott Joplin Elementary School, 416 ,2016
Network 11,610521,Sir Miles Davis Magnet Elementary Academy, 279 ,2016
Network 11,609745,Southside Occupational Academy High School, 222 ,2016
Network 11,610506,TEAM Englewood Community Academy High School, 272 ,2016
Network 11,609895,Turner-Drew Elementary Language Academy, 275 ,2016
Network 11,610032,Wendell E Green Elementary School, 365 ,2016
Network 11,610153,William H Ryder Math & Science Specialty ES, 402 ,2016
Network 11,609711,William Rainey Harper High School, 253 ,2016
Network 12,610281,Adam Clayton Powell Paideia Community Academy ES, 558 ,2016
Network 12,610316,Amelia Earhart Options for Knowledge ES, 260 ,2016
Network 12,610171,Arnold Mireles Elementary Academy, 665 ,2016
Network 12,609887,Arthur Dixon Elementary School, 595 ,2016
Network 12,610268,Arthur R Ashe Elementary School, 320 ,2016
Network 12,609786,Avalon Park Elementary School, 332 ,2016
Network 12,609827,Burnside Elementary Scholastic Academy, 535 ,2016
Network 12,609833,Charles P Caldwell Academy of Math & Science ES, 277 ,2016
Network 12,609813,Charles S Brownell Elementary School, 228 ,2016
Network 12,609815,Edward A Bouchet Math & Science Academy ES, 649 ,2016
Network 12,609862,Edward Coles Elementary Language Academy, 500 ,2016
Network 12,609939,Frank L Gillespie Elementary School, 553 ,2016
Network 12,610124,Harold Washington Elementary School, 415 ,2016
