School ID,School Name,Network, Total ,year
400062,Perspectives - High School of Technology,Charter,334,2018
400061,Perspectives - Leadership Academy,Charter,437,2018
400066,Perspectives - Math and Science Academy,Charter,461,2018
400064,Perspectives - Rodney D. Joslin,Charter,389,2018
400069,Polaris Charter Academy,Charter,444,2018
400071,Providence Englewood Charter School,Charter,511,2018
400096,Rowe Elementary Charter School,Charter,1009,2018
400116,The Montessori School of Englewood Charter,Charter,309,2018
400078,University of Chicago - Carter G. Woodson,Charter,214,2018
400075,University of Chicago - Donoghue,Charter,539,2018
400076,University of Chicago - North Kenwood/Oakland,Charter,356,2018
400077,University of Chicago - Woodlawn,Charter,645,2018
400105,Urban Prep Academy for Young Men - Bronzeville,Charter,315,2018
400086,Urban Prep Academy for Young Men - Englewood,Charter,263,2018
400102,Urban Prep Charter Academy for Young Men - West,Charter,213,2018
400087,Young Women's Leadership Charter School,Charter,193,2018
400022,Chicago High School for the Arts (ChiArts),Contract,619,2018
400091,Chicago Technology Academy High School,Contract,242,2018
400043,Hope Institute Learning Academy,Contract,363,2018
400068,Plato Learning Academy,Contract,389,2018
610581,Bridgescape Academy Brainerd,Options,173,2018
610580,Bridgescape Academy Humboldt Park,Options,163,2018
610567,Bridgescape Academy Roseland,Options,168,2018
610566,Bridgscape Academy Lawndale,Options,167,2018
400147,Camelot - Chicago Excel Academy,Options,300,2018
610565,Camelot Excel - Englewood HS,Options,252,2018
400175,Camelot Excel - Southshore HS,Options,150,2018
400176,Camelot Excel - Southwest HS,Options,131,2018
610572,Camelot Safe Elementary,Options,5,2018
610573,Camelot Safe HS,Options,6,2018
400164,Instituto - Justice Lozano Mastery,Options,85,2018
400137,Little Black Pearl Art and Design Academy,Options,118,2018
610569,Ombudsman Chicago- Northwest,Options,235,2018
610570,Ombudsman Chicago- South,Options,495,2018
610571,Ombudsman Chicago- West,Options,367,2018
610557,Pathways in Education- Ashburn,Options,278,2018
610568,Pathways in Education- Avondale,Options,285,2018
400173,Pathways in Education- Brighton Park,Options,343,2018
400123,YCCS- Academy of Scholastic Achievement HS,Options,148,2018
400133,YCCS- Innovations HS of Arts Integration,Options,414,2018
400124,YCCS- McKinley Lakeside Leadership HS,Options,155,2018
400125,"YCCS-ASPIRA,Antonia Pantoja Alternative HS",Options,183,2018
400126,YCCS-Association House HS,Options,142,2018
400127,YCCS-Austin Career Education Center HS,Options,146,2018
400128,YCCS-CCA Academy HS,Options,165,2018
400150,YCCS-Chatham AcademyHS,Options,162,2018
400130,YCCS-Community Youth Development Institute HS,Options,156,2018
400131,YCCS-Dr. Pedro Albizu Campos Puerto Rican HS,Options,197,2018
400134,YCCS-Jane Addams Alternative HS,Options,210,2018
400135,YCCS-Latino Youth Alternative HS,Options,226,2018
400136,YCCS-Olive Harvey Middle College HS,Options,103,2018
400129,YCCS-Progressive Leadership Academy,Options,155,2018
400139,YCCS-Sullivan House Alternative HS,Options,330,2018
400141,YCCS-Truman Middle College HS,Options,217,2018
400143,YCCS-West Town Acad Alternative HS,Options,130,2018
400144,YCCS-Westside Holistic Leadership Acad HS,Options,95,2018
400145,YCCS-Youth Connection Leadership Acad HS,Options,223,2018
