Network,School ID,Area,School,Total,Year
South Side High School Network,609712,,Emil G Hirsch Metropolitan High School,455,2012
South Side High School Network,610297,,High School of Leadership at South Shore,731,2012
South Side High School Network,609713,,Hyde Park Academy High School,"1,513",2012
South Side High School Network,609746,,Kenwood Academy High School,"1,851",2012
South Side High School Network,610552,,Milburn Alternative High School,35,2012
South Side High School Network,609692,,Neal F Simeon Career Academy High School,"1,533",2012
South Side High School Network,610323,,New Millennium High School of Health at Bowen,700,2012
South Side High School Network,609676,,Paul Laurence Dunbar Career Academy High School,"1,462",2012
South Side High School Network,609743,,Phillips Achievement Academy High School,67,2012
South Side High School Network,609769,,Ray Graham Training Center High School,139,2012
South Side High School Network,610547,,South Shore International College Prep HS School,323,2012
South Side High School Network,609727,,Wendell Phillips Academy High School,593,2012
South Side High School Network,609678,,William Jones College Preparatory High School,871,2012
Southwest Side High School Network,610513,,Air Force Academy High School,302,2012
Southwest Side High School Network,609735,,Edward Tilden Career Community Academy HS,463,2012
Southwest Side High School Network,609682,,Ellen H Richards Career Academy High School,473,2012
Southwest Side High School Network,610543,,Eric Solorio Academy High School,582,2012
Southwest Side High School Network,609709,,Gage Park High School,"1,052",2012
Southwest Side High School Network,609741,,Gurdon S Hubbard High School,"1,672",2012
Southwest Side High School Network,609768,,Hope College Preparatory High School,560,2012
Southwest Side High School Network,609718,,John F Kennedy High School,"1,588",2012
Southwest Side High School Network,609694,,John Hancock College Preparatory High School,966,2012
Southwest Side High School Network,609756,,Marie Sklodowska Curie Metropolitan High School,"3,323",2012
Southwest Side High School Network,610557,,Pathways in Education,213,2012
Southwest Side High School Network,609707,,Paul Robeson High School,734,2012
Southwest Side High School Network,610386,,Peace & Education Coalition High School,120,2012
Southwest Side High School Network,610391,,Robert Lindblom Math & Science Academy HS,908,2012
Southwest Side High School Network,610374,,Robeson Achievement Academy High School,111,2012
Southwest Side High School Network,609745,,Southside Occupational Academy High School,201,2012
Southwest Side High School Network,610506,,TEAM Englewood Community Academy High School,440,2012
Southwest Side High School Network,609715,,Thomas Kelly High School,"2,893",2012
Southwest Side High School Network,610375,,Tilden Achievement Academy High School,128,2012
Southwest Side High School Network,609698,,William J Bogan High School,"1,658",2012
Southwest Side High School Network,609711,,William Rainey Harper High School,622,2012
West Side High School Network,610334,,Al Raby High School,536,2012
West Side High School Network,610501,,Austin Polytechnical Academy High School,251,2012
West Side High School Network,610555,,Banner Academy West,162,2012
West Side High School Network,609764,,Benito Juarez Community Academy High School,"1,683",2012
West Side High School Network,610401,,Clemente Achievement Academy High School,184,2012
West Side High School Network,610499,,Collins Academy High School,409,2012
West Side High School Network,609748,,Consuella B York Alternative High School,338,2012
West Side High School Network,610378,,Crane Achievement Academy High School,162,2012
West Side High School Network,609704,,David G Farragut Career Academy High School,"1,453",2012
West Side High School Network,610245,,Frederick A Douglass Academy High School,354,2012
West Side High School Network,609693,,George Westinghouse High School,828,2012
West Side High School Network,610383,,Greater Lawndale High School For Social Justice,371,2012
West Side High School Network,610384,,Infinity Math Science and Technology High School,388,2012
West Side High School Network,609723,,John Marshall Metropolitan High School,730,2012
West Side High School Network,609722,,Manley Career Academy High School,599,2012
West Side High School Network,610502,,Marine Military Math and Science Academy,367,2012
West Side High School Network,610535,,Mason High School,48,2012
West Side High School Network,610244,,Michele Clark Academic Prep Magnet High School,733,2012
West Side High School Network,610385,,Multicultural Academy of Scholarship,315,2012
West Side High School Network,609783,,Nancy B Jefferson Alternative High School,272,2012
West Side High School Network,609691,,North-Grand High School,883,2012
West Side High School Network,610529,,Ogden International High School,558,2012
West Side High School Network,610389,,Orr Academy High School,823,2012
West Side High School Network,610304,,Phoenix Military Academy High School,462,2012
West Side High School Network,609702,,Richard T Crane Technical Preparatory HS,476,2012
West Side High School Network,609759,,Roberto Clemente Community Academy High School,"1,007",2012
West Side High School Network,609750,,Simpson Academy High School for Young Women,150,2012
West Side High School Network,610357,,Spry Community Links High School,195,2012
West Side High School Network,610518,,VOISE Academy High School,411,2012
West Side High School Network,609740,,Wells Community Academy High School,630,2012
West Side High School Network,609755,,Whitney M Young Magnet High School,"2,165",2012
West Side High School Network,610392,,World Language Academy High School,379,2012
Austin-North Lawndale Elementary Network,400020,,Catalyst Charter ES - Howland,507,2012
Austin-North Lawndale Elementary Network,400021,,Catalyst Elementary School - Circle Rock,520,2012
Austin-North Lawndale Elementary Network,400040,,Frazier Preparatory Academy Elementary School,413,2012
Austin-North Lawndale Elementary Network,400044,,KIPP Ascend Academy Charter Elementary School,545,2012
Austin-North Lawndale Elementary Network,400046,,LEARN Charter ES - Romano Butler Campus,599,2012
Austin-North Lawndale Elementary Network,400049,,Legacy Charter Elementary School,512,2012
Austin-North Lawndale Elementary Network,400068,,Plato Learning Academy Elementary School,414,2012
Burnham Park Elementary Network,400019,,Bronzeville Lighthouse Charter Elementary School,455,2012
Burnham Park Elementary Network,400029,,Chicago Intl Charter - Washington Park,446,2012
Burnham Park Elementary Network,400075,,University of Chicago Charter - Donoghue,475,2012
Burnham Park Elementary Network,400076,,University of Chicago Charter - NKO,330,2012
Burnham Park Elementary Network,400078,,University of Chicago Charter - Carter G Woodson,392,2012
Englewood-Gresham Elementary Network,400067,,Perspectives Charter - Calumet MS,380,2012
Englewood-Gresham Elementary Network,400071,,Providence Englewood Charter - Bunche,406,2012
Englewood-Gresham Elementary Network,400074,,Betty Shabazz Intl Charter - Barbara A Sizemore,296,2012
Far South Side High School Network,400033,,Chicago Intl Charter - Longwood,"1,473",2012
Far South Side High School Network,400109,,Prologue - Joshua Johnston Charter School for Fine Arts and,206,2012
Fullerton Elementary Network,400025,,Chicago Intl Charter - Bucktown,667,2012
Fullerton Elementary Network,400030,,Chicago Intl Charter - West Belden,500,2012
Fullerton Elementary Network,400082,,UNO Charter - Carlos Fuentes,547,2012
Fulton Elementary Network,400039,,Erie Elementary Charter School,351,2012
Fulton Elementary Network,400043,,Hope Institute Learning Academy,410,2012
Fulton Elementary Network,400048,,LEARN Charter ES - Excel,342,2012
Fulton Elementary Network,400096,,Rowe Elementary School,350,2012
Fulton Elementary Network,400114,,UNO Charter Elementary School St Marks,237,2012
Garfield-Humboldt Elementary Network,400011,,Alain Locke Charter Elementary Academy,588,2012
Garfield-Humboldt Elementary Network,400041,,Galapagos Elementary Charter School,351,2012
Garfield-Humboldt Elementary Network,400047,,LEARN Charter ES - North Lawndale,447,2012
Garfield-Humboldt Elementary Network,400069,,Polaris Charter Academy Elementary School,336,2012
Garfield-Humboldt Elementary Network,400095,,Garfield Park Preparatory Academy ES,204,2012
Lake Calumet Elementary Network,400028,,Chicago Intl Charter - Prairie,403,2012
Lake Calumet Elementary Network,400045,,Kwame Nkrumah Academy Elementary School,215,2012
Lake Calumet Elementary Network,400092,,Chicago Intl Charter - Lloyd Bond,346,2012
Lake Calumet Elementary Network,400108,,Chicago Intl Charter - Larry Hawkins,478,2012
Midway Elementary Network,400009,,Academy for Global Citizenship Elementary School,247,2012
Midway Elementary Network,400031,,Chicago Intl Charter - Wrightwood,709,2012
Midway Elementary Network,400079,,UNO Charter School - SPC Daniel Zizumbo Campus,640,2012
Midway Elementary Network,400080,,UNO Charter School - PFC Omar E.Torres Campus,640,2012
Midway Elementary Network,400084,,UNO Charter - Rufino Tamayo,288,2012
Midway Elementary Network,400112,,UNO 51st and Homan Charter Elementary School,566,2012
North-Northwest Side High School Network,400013,,ASPIRA Charter - Early College,505,2012
North-Northwest Side High School Network,400034,,Chicago Intl Charter - Northtown,844,2012
North-Northwest Side High School Network,400035,,Chicago Math and Science Academy High School,596,2012
North-Northwest Side High School Network,400054,,Noble Street Charter - Pritzker College Prep,752,2012
North-Northwest Side High School Network,400113,,Chicago Intl Charter - Chicago Quest North,231,2012
O'Hare Elementary Network,400017,,ASPIRA Charter - Haugan Campus,592,2012
O'Hare Elementary Network,400027,,Chicago Intl Charter - Irving Park,517,2012
Pershing Elementary Network,400024,,Chicago Intl Charter - Basil,730,2012
Pershing Elementary Network,400050,,Namaste Charter Elementary School,452,2012
Pershing Elementary Network,400089,,UNO Charter School - Officer Donald J. Marquez,576,2012
Pershing Elementary Network,400101,,UNO Charter - Gage Park,570,2012
Pilsen-Little Village Elementary Network,400081,,UNO Charter - Bartolome de Las Casas,285,2012
Pilsen-Little Village Elementary Network,400083,,UNO Charter - Octavio Paz Campus,432,2012
Ravenswood-Ridge Elementary Network,400060,,Passages Charter Elementary School,427,2012
Rock Island Elementary Network,400026,,Chicago Intl Charter - Loomis Primary,592,2012
Skyway Elementary Network,400023,,Chicago Intl Charter - Avalon / South Shore,421,2012
Skyway Elementary Network,400072,,Betty Shabazz Intl Charter,303,2012
Skyway Elementary Network,400107,,LEARN  Charter School-South Chicago Campus,280,2012
Skyway Elementary Network,400111,,Learn Charter School - 5th Campus,236,2012
South Side High School Network,400010,,"Architecture, Construction, and Engineering(ACE)Technical Ch",500,2012
South Side High School Network,400022,,Chicago High School for the Arts,437,2012
South Side High School Network,400052,,Noble Street Charter - Gary Comer College Prep,710,2012
South Side High School Network,400064,,Perspectives Charter - Rodney D Joslin,376,2012
South Side High School Network,400066,,Perspectives Charter - IIT Math & Science Academy,571,2012
South Side High School Network,400073,,Betty Shabazz Intl Charter - DuSable Leadership,398,2012
South Side High School Network,400077,,University of Chicago Charter - Woodlawn,517,2012
South Side High School Network,400087,,Young Women's Leadership Charter High School,324,2012
South Side High School Network,400094,,EPIC Academy High School,364,2012
South Side High School Network,400098,,Noble Street Charter - Muchin College Prep,708,2012
South Side High School Network,400104,,Instituto Health Sciences Career Academy HS,336,2012
South Side High School Network,400105,,Urban Prep Academy for Young Men  - South Shore,268,2012
South Side High School Network,609686,,Youth Connection Charter School,"4,030",2012
Southwest Side High School Network,400012,,Amandla Charter High School,348,2012
Southwest Side High School Network,400032,,Chicago Intl Charter - Ralph Ellison,548,2012
Southwest Side High School Network,400061,,Perspectives Charter - Calumet HS,480,2012
Southwest Side High School Network,400062,,Perspectives Charter - Calumet Technology,517,2012
Southwest Side High School Network,400085,,UNO Charter School - Major Hector P.Garcia MD Campus,591,2012
Southwest Side High School Network,400086,,Urban Prep Acad for Young Men Charter - Englewood,482,2012
Southwest Side High School Network,400106,,Noble Street Charter School - Johnson HS,416,2012
West Side High School Network,400015,,ASPIRA Charter - Mirta Ramirez Computer Science,397,2012
West Side High School Network,400018,,Austin Business and Entrepreneurship Academy HS,317,2012
West Side High School Network,400036,,Chicago Virtual Charter High School,598,2012
West Side High School Network,400038,,Community Services West Academy,180,2012
West Side High School Network,400042,,Henry Ford Academy Power House Charter HS,453,2012
West Side High School Network,400051,,Noble Street Charter - Noble Street College Prep,599,2012
West Side High School Network,400053,,Noble Street Charter - Golder College Prep,580,2012
West Side High School Network,400055,,Noble Street Charter - Rauner College Prep,599,2012
West Side High School Network,400056,,Noble Street Charter - Rowe-Clark Math & Sci Acad,581,2012
West Side High School Network,400057,,Noble Street Charter - UIC College Prep,811,2012
West Side High School Network,400058,,North Lawndale College Prep Charter - Christiana,473,2012
West Side High School Network,400059,,North Lawndale College Prep Charter - Collins,412,2012
West Side High School Network,400070,,Prologue Early College High School,233,2012
West Side High School Network,400091,,Chicago Academy for Advanced Technology HS,303,2012
West Side High School Network,400093,,Chicago Talent Development HS,200,2012
West Side High School Network,400097,,Noble Street Charter - Chicago Bulls College,787,2012
West Side High School Network,400102,,Urban Prep Acad for Young Men - East Garfield Park,373,2012
